Data,Fund,Equity,Volatility,Gold,Oil,Aggr,CvArb,CTA,Distress,EqLS,EqMN,ED,FiArb,Macro,MergerArb,Multi,Regime
10/31/13,-0.0672,0.03973951,-0.171686747,-0.002186204,-0.058145216,0.018533,0.020474,0.016351,0.012479,0.002976,0.010139,0.017121,0.011518,0.023371,0.024562,0.014052,Normal 
11/30/13,0.016,0.018521982,-0.003636364,-0.055152614,-0.037974684,0.014112,-0.004828,0.008239,0.009738,0.0039,0.009444,0.007587,-0.001,0.015901,0.0143,0.012453,Normal 
12/31/13,0.0522,0.025316364,0.001459854,-0.038941308,0.06147541,0.011628,0.001551,0.011566,0.010303,-0.001377,0.006863,0.01136,0.004896,0.018239,0.012177,0.015749,Bull Market 
1/31/14,-0.033,-0.049206266,0.341836735,0.03178301,-0.009449299,0.005182,-0.028641,0.004526,0.004755,-0.004132,-0.003694,-0.004058,0.009181,-0.008777,0.011829,-0.012219,Normal 
2/28/14,0.0321,0.031531064,-0.239543726,0.065559229,0.052313058,0.027166,0.011296,0.026352,0.013701,-0.013355,-0.007397,0.018654,0.006994,0.030148,0.025051,-0.00208,Bull Market 
3/31/14,-0.0808,0.023595113,-0.008571429,-0.028757379,-0.026220879,0.007444,0.002518,-0.001441,-0.0025,0.003442,-0.00727,-0.000694,0.005758,-0.002546,-0.005945,-0.006978,Normal 
4/30/14,-0.0016,0.012642349,-0.033861671,0.009739754,-0.007907908,0.0036,0.000085,0.004749,-0.002577,-0.00157,-0.002313,-0.002005,0.003888,-0.009534,-0.012302,-0.006889,Normal 
5/31/14,-0.0792,0.009607528,-0.149888143,-0.038814723,0.036323277,0.005922,0.026394,0.005879,0.008469,0.004221,0.000037,0.01105,0.002546,0.011285,0.005594,0.004847,Normal 
6/30/14,-0.038,0.015786892,0.014912281,0.061175337,0.02589816,0.013788,0.01409,0.015964,0.010992,-0.006571,0.01503,0.013839,0.004142,0.017241,-0.004719,0.018602,Normal 
7/31/14,0.1605,-0.017063231,0.464995678,-0.030640036,-0.068330644,-0.003509,0.006109,-0.010663,-0.001734,0.006391,0.031328,-0.005797,0.000685,-0.013926,-0.015585,0.012677,Stress
8/31/14,0.0144,0.02334958,-0.293215339,0.003512058,-0.022511969,-0.00018,0.010915,0.004333,0.006648,0.000343,0.008581,0.011564,-0.003204,0.02118,0.00378,0.004443,Normal 
9/30/14,0.0683,-0.02306962,0.361435726,-0.058562762,-0.050020842,-0.02143,-0.02465,-0.025522,-0.002619,0.01559,0.030147,-0.012605,-0.005158,-0.024218,0.005145,0.004734,Stress
10/31/14,0.0112,0.005867811,-0.139791539,-0.032548534,-0.116498464,-0.016262,-0.001373,-0.017591,-0.002255,0.008426,-0.032536,-0.002872,-0.00834,0.003248,-0.009911,-0.007011,Normal 
11/30/14,0.0083,0.009383266,-0.049893086,0.011698403,-0.085050906,-0.004582,-0.00489,0.006221,0.008819,0.010609,-0.000961,0.006022,-0.00025,0.01001,0.017951,0.007014,Normal 
12/31/14,0.0278,-0.015555309,0.44036009,-0.000759622,-0.277106799,-0.007823,-0.02759,-0.006208,0.010682,0.009486,0.000879,-0.004171,-0.00434,-0.003207,0.012094,0.007741,Stress
1/31/15,0.0142,-0.033219216,0.0921875,0.079905397,-0.164069833,-0.013659,-0.001282,-0.010347,0.010628,0.015088,0.012231,-0.001048,0.001404,-0.013325,0.007684,-0.007279,Stress
2/28/15,-0.002,0.055434399,-0.363853124,-0.051544779,0.117448911,0.0178,0.0201,0.0318,0.0115,0.000008,-0.021793,0.0223,0.0114,0.0389,0.0202,0.0266,Bull Market 
3/31/15,-0.046,-0.023030546,0.146176912,-0.02432789,-0.04340836,0.0036,-0.0028,0.0072,0.016,0.0134,0.0108,0.0048,0.0019,-0.0012,0.0081,-0.0008,Normal 
